kana,meaning,explain,example,example_explain
お,20 「お」表示“向下”，以“お＋た行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おりる「降りる·下りる」 ②（自一）：下来；下车,"解 お→向下。
例 バスから降お りる。/从公交车上下来。"
お,21 「お」表示“推；压；按”，以“お+さ行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おろす「降ろす·下ろす」 ②（他五）：拿下；卸下；取款,"解 お→向下。
例 車くるま から家か 具ぐ を降お ろす。/把家具从车上搬下来。
熟词联想 おす「押す」：推；压；按"
お,21 「お」表示“推；压；按”，以“お+さ行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おす「押す·推す」 ⓪（他五）：推；压；按；推测；推断,"解 おす→推，压，按。
例 ボタンを押お す/按按钮"
お,21 「お」表示“推；压；按”，以“お+さ行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おさえる「押さえる·抑える」 ③（他一）：押着；捂着；扣押；理解,"解 おさ→压，按。
例 財ざい 産さん を押お さえる/扣押财产
この文ぶん 法ぽう 項こう 目もく を押おさ える。/理解这个语法点。"
お,21 「お」表示“推；压；按”，以“お+さ行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おしえる「教える」 ⓪（他一）：教授；告诉,"解 おし→推动→一个人从身后推动另一个人。
例 日に 本ほん 人じん に中ちゅう 国ごく 語ご を教おし える。/教日本人汉语。"
お,21 「お」表示“推；压；按”，以“お+さ行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おそわる「教わる」 ⓪（他五）：受教，跟……学习,"解 おそ→推动。「教わる」的含义和「教える」相反，一个是教，一个是被教、受教。但其本义都来源于一个人从身后推动另一个人。
例 先せん 生せい に日に 本ほん 語ご を教おそ わる。/跟老师学日语。"
お,21 「お」表示“推；压；按”，以“お+さ行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おさめる「収める·納める·治める·修める」 ③（他一）：收纳；缴纳；治理；学习，钻研,"解 おさ→压，める→他动词后缀。
派 本义为“用力把事物压进容器中”。1. 收纳（把衣服塞进箱子）；2. 缴纳（把钱塞入箱子）；3. 治理（把涌现的问题压下去）；4. 学习（把学问塞进头脑里）。
例 紙かみ を引ひ き出だ しに収おさ める。/把纸收进抽屉里。
お金かね を金きん 庫こ に納おさ める。/把钱放在保险柜里。
党とう 費ひ を納おさ める/交党费
国くに を治おさ める/治国
彼かれ は大だい 学がく で、日に 本ほん 文ぶん 学がく を修おさ めた。/他在大学学习了日本文学。"
お,21 「お」表示“推；压；按”，以“お+さ行假名”为代表,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おそれる「恐れる」 ③（自他一）：恐惧，害怕,"解 おそ→按住，表示心情被恐惧紧紧地控制住，无法动弹。
例 失しっ 敗ぱい を恐おそ れるな。/不要害怕失败。
拓 おそろしい「恐ろしい」：可怕的"
お,22 「お」作为接头词，用于美化语言,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おそい「遅い」 ⓪②（形）：慢的，迟缓的,"解 おそ→压，仿佛被压住→慢。
例 この列れっ 車しゃ は遅おそ い。/这趟车很慢。"
お,22 「お」作为接头词，用于美化语言,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おもちゃ ②（名）：玩具,"解 お→接头词，「もちゃ」是由「持も ち遊あそ ぶ」（拿着玩儿）缩略而成。もちあ→もちゃ。
例 おもちゃで遊あそ ぶ。/玩儿玩具。"
お,22 「お」作为接头词，用于美化语言,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おやつ 」②（名）：点心，零食,"解 お→接头词；やつ→八やっ つ，第八个时辰，现在的下午1点到3点，此时享用下午茶→零食，点心。
例 日に 本ほん はおやつがおいしい。/日本的点心很好吃。"
お,22 「お」作为接头词，用于美化语言,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おまけ 」⓪（名）：赠品；打折，减价,"解 お→接头词，まけ→まける→输，失败。
例 ちょっとおまけしてよ。/给我便宜点儿吧。"
お,23 「おも」表示“脸，面”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おてあらい「御手洗い」 ③（名）：洗手间,"解 お→接头词，て→手て ，あらい→洗あら う。
例 お手て 洗あら いはどこですか。/洗手间在哪儿？
熟词联想 おもしろい「面白い」：有趣的。词源为当人感到有趣时，会觉得面前发亮。"
お,23 「おも」表示“脸，面”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おもしろい「面白い」 ④（形）：有趣的，有意思的；高兴的,"解 おも→脸→当人感到有趣时，会觉得面前发亮。
例 この本ほん は面おも 白しろ い。/这本书很有趣。"
お,23 「おも」表示“脸，面”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おもて「表」 ③（名）：表面；前面；屋外,"解 おも→面，て→手て ，日语中习惯用手表示方位。面的方向→表面。
例 何事なにごと にも表おもて と裏うら がある。/凡事都有正反两面。"
お,23 「おも」表示“脸，面”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おもむく「赴く」 ③（自五）：奔赴，前往,"解 おも→面，むく→向む く。脸朝向→奔赴。
例 仕し 事ごと で日に 本ほん へ赴おもむ く。/因工作赴日。"
お,24 「おう」表示“从后方追赶事物”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おもむき「趣」 ⓪④（名）：雅趣，风情；主旨，要点,"解 おも→面，むき→向む く。脸朝向有趣的地方。
例 この庭てい 園えん は趣おもむき がある。/这个庭院很有风情。"
お,24 「おう」表示“从后方追赶事物”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おう「追う」 ⓪（他五）：追赶；追求,"解 おう→追。
例 猫ねこ がねずみを追お う。/猫追老鼠。"
お,24 「おう」表示“从后方追赶事物”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おいつく「追いつく」 ③（自五）：追上，赶上；来得及,"解 おい→追，つく→本义为附着。追赶并附着上→赶上。
例 先せん 進しん 国こく に追お いつく。/赶上发达国家。"
お,24 「おう」表示“从后方追赶事物”,"解析 可以采用联想法，当人们看到事物很大或者数量很多时，会发出「おお」的感叹声。
熟词联想 おおきい「大きい」：大的
おおい「多い」：多的",▶ おう「負う」 ⓪（他五）：背；背负,"解 おう→从后方追赶事物，直至覆盖在事物的背上。
例 荷に 物もつ を背せ 中なか に負お う。/把行李背在背上。"
か,25 「か」表示“一个事物覆盖在另一个事物之上”，以“か＋さ行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かさ「傘·笠」 ①（名）：雨伞,"解 かさ→一个事物覆盖在另一个事物之上→伞。
例 傘かさ を差さ して外そと を歩ある く。/打着伞在外面走。"
か,25 「か」表示“一个事物覆盖在另一个事物之上”，以“か＋さ行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かさねる「重ねる」 ⓪（他一）：重叠，摞；放上，盖上,"解 かさ→一个事物覆盖在另一个事物之上→重叠。
例 本ほん を重かさ ねる。/把书摞起来。"
か,25 「か」表示“一个事物覆盖在另一个事物之上”，以“か＋さ行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かさなる「重なる」 ⓪（自五）：重叠，摞,"解 「重かさ ねる」的自动词。
例 ゴールデンウィークと週末しゅうまつ が重かさ なった。/黄金周和周末赶在一起了。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かざる「飾る」 ⓪（他五）：装饰；装潢,"解 かざ→一个事物覆盖在另一个事物之上→用装饰品覆盖在某物之上，使之更漂亮。
例 部へ 屋や を綺き 麗れい に飾かざ る。/把房间装饰得很漂亮。
拓 かざり「飾り」：装饰
熟词联想 かく「書く」：写。写就是不断地画出交叉的线条。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かき「垣」 ②（名）：围墙；篱笆；栅栏,"解 かき→覆盖→包围。围墙把事物包围起来。
例 竹たけ 垣がき を作つく る。/建一道竹篱笆。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かくれる「隠れる」 ③（自一）：隐藏；躲藏,"解 かく→覆盖→给事物覆盖上东西，以达到遮掩的目的。
例 太たい 陽よう が雲くも に隠かく れた。/太阳被云彩遮上了。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶かくす「隠す」 ②（他五）：隐藏；遮掩,"解 「隠かく れる」的他动词。
例 マスクで顔かお を隠かく す。/用面具遮住了脸。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かこむ「囲む」 ⓪（他五）：包围，围绕,"解 かこ→覆盖→包围，む→封闭状。
例 文も 字じ を丸まる で囲かこ む。/用圆圈把字圈上。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かご「籠」 ⓪（名）：笼子；筐子；篮子,"解 树枝交叉起来编成篮子。
例 スーパーでかごを買か った。/在超市买了一个笼子。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かける「掛ける·架ける·懸ける」 ②（他五）：悬挂；套；盖；坐；花费,"解 かけ→覆盖。
派 本义为“大面积地覆盖”。1. 挂，套，蒙，浇（本质都是一件事物覆盖在另一件事物上）；2. 坐（屁股覆盖在椅子上）；3. 花费（把时间和钱覆盖在某物上→投入、花费）。
例 カーテンをかける/挂上窗帘
卵たまご をご飯はん にかける。/把鸡蛋浇在饭上。
椅い 子す にかける。/坐到椅子上。
お金かね をかける/花钱"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かかる「掛かる·架かる·懸かる」 ②（自五）：悬挂；套；盖；花费,"解 「かける」的自动词。
例 壁かべ に絵え が掛か かっている。/墙上挂着画。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かかる「罹る」 ②（自五）：患病，生病,"解 和「掛か かる」同源；交叉，覆盖→染病。
例 この病びょう 気き は一いち 度ど かかると二に 度ど とかからない。/这种病得过一次就不会再得了。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かかる「係る」 ②（自五）：相关，关系到,"解 和「掛か かる」同源；交叉，覆盖→相关。
例 国こっ 家か の威い 信しん にかかることだ。/（这是）关系到国家威信的事情。
拓 かかり「係り」：负责人，主管，工作人员"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かかわる「係わる」 ③⓪（自五）：牵连；关系，相关,"解 かか→交叉，覆盖→相关。
例 この事じ 件けん は命いのち にかかわる。/这件事关乎性命。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かかえる「抱える」 ⓪（他一）：抱，怀有；承担,"解 かか→交叉，覆盖→怀抱。
例 頭あたま を抱かか えて考かんが えている。/抱头思考问题。"
か,26 「か」表示“交叉，覆盖”，以“か＋か行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かく「書く」 ①（他五）：书，写,"解 动作本质是手（拿笔）不断做出交叉动作。
例 本ほん を書か く/写书"
か,27 「か」表示“交换”，以“か＋あ行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かく「掻く」 ①（他五）：挠，搔,"解 与「書か く」同源，这一动作的本质也是手不断做出交叉动作。
例 かゆいところを掻か く。/挠发痒的部位。
解析 由“交叉”引出“交换”之意。
熟词联想 かう「買う」：买。买的本质是钱和货物的交换。"
か,27 「か」表示“交换”，以“か＋あ行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かう「買う」 ⓪（他五）：买，购买,"解 かう→交换→购买。
例 子こ どもに果くだ 物もの を買か う。/给孩子买水果。"
か,27 「か」表示“交换”，以“か＋あ行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かえる「変える·換える·替える·代える」 ⓪（他一）：变；换；替；代,"解 かえ→交换→变；换；替；代。
例 待ま ち合あ わせの場ば 所しょ を変か える。/变更集合地点。"
か,27 「か」表示“交换”，以“か＋あ行假名”为代表,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かわる「替わる·変わる·代わる·換わる」 ⓪（自五）：变；换；替；代,"解 「かえる」的自动词。
例 驚おどろ きで顔かお 色いろ が変か わった。/因吃惊而变了脸色。"
か,28 「か」表示“重叠”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かわせ「為替」 ⓪（名）：汇兑，汇款；兑换,"解 与「かわる」同源。交换→汇兑，兑换。
例 外がい 国こく 為かわ 替せ 市し 場じょう で取とり 引ひき する。/在外汇市场交易。
解析 由“覆盖”引出“重叠”之意。"
か,28 「か」表示“重叠”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かねる「兼ねる」 ②（他一）：兼；兼任,"解 か→重叠→兼。
例 首しゅ 相しょう と外相がいしょう を兼か ねる/兼任首相和外相"
か,28 「か」表示“重叠”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かぎる「限る」 ②（自他五）：仅限于；有限，限定；最好；必然,"解 か→重叠，きる→切き る。重叠的部分切下来→有限，仅限于。
例 最さい 終しゅう 日び に限かぎ って三さん 割引わりびき 。/限最后一天打七折。
時じ 間かん が限かぎ られている。/时间有限。
花はな は桜さくら に限かぎ るね。/花还是樱花最好。
必かなら ずしも来く るとは限かぎ らない。/不一定来。
拓 かぎり「限り」：限度，极限"
か,28 「か」表示“重叠”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かつぐ「担ぐ」 ②（他五）：担；扛；挑,"解 か→重叠。把东西叠在身上→担；扛。
例 兵へい 士し たちは鉄てっ 砲ぽう を担かつ いでいる。/士兵们扛着枪。"
か,29 「かた」表示“硬”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ からむ「絡む」 ②（自五）：卷；缠绕；纠缠；牵涉,"解 か→重叠→纠缠，む→关闭状。
例 これは金かね が絡から む問もん 題だい だ。/这是牵涉到钱的问题。
熟词联想 かたい「硬い·堅い·固い·難い」：坚硬的；艰难的"
か,29 「かた」表示“硬”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたい「硬い·堅い·固い·難い」 ⓪②（形）：坚硬的；艰难的,"解 かた→硬。
例 鉄てつ のように硬かた い/像铁一般坚硬"
か,29 「かた」表示“硬”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたまる「固まる」 ⓪（自五）：硬化，固化；团结,"解 かた→硬，まる→自动词后缀。
例 コンクリートが固かた まった。/混凝土凝固了。"
か,29 「かた」表示“硬”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたまり「塊」 ⓪（名）：块儿；疙瘩；集群,"解 派生自「固かた まる」。
例 氷こおり の塊かたまり で彫ちょう 刻こく する。/用冰块儿雕刻。"
か,30 「かた」表示“单方面，两方中的一方”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かつお「鰹」 ⓪（名）：鲣鱼,"解 鲣鱼干煮的高汤是日本料理中最重要的味道来源。这个词来自「かたうお」，かた→硬，うお→鱼，「たう」缩略成「つ」。本义为“硬的鱼”。鲣鱼干制作时需要发酵和烘干很久，最后硬度很高，需要非常锋利的刀才能切开。
例 鰹かつおぶし 節 でだしをとる。/用鲣鱼熬汤。
熟词联想 かた「片」：单方面"
か,30 「かた」表示“单方面，两方中的一方”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かた「片」 ⓪（名）：单方面的,"解 かた→单方面。
例 片かた 思おも いをする/单相思"
か,30 「かた」表示“单方面，两方中的一方”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたむける「傾ける」 ④（他一）：使倾斜；倾注,"解 かた→一方，むける→朝向。朝向一方→倾斜。
例 体からだ を前まえ に傾かたむ ける。/身体向前倾。"
か,30 「かた」表示“单方面，两方中的一方”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたむく「傾く」 ③（自五）：倾斜，偏,"解 「傾かたむ ける」的自动词。
例 地じ 震しん で家いえ が傾かたむ いた。/因为地震，房子倾斜了。"
か,30 「かた」表示“单方面，两方中的一方”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたよる「偏る」 ③（自五）：不平衡；偏袒,"解 かた→单方面，よる→寄よ る→靠近。靠近一方→不平衡。
例 栄えい 養よう が偏かたよ っている。/营养不均衡。"
か,30 「かた」表示“单方面，两方中的一方”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたづける「片付ける」 ④（他一）：收拾，整理；处理,"解 かた→一方，つける→附着，附在一边放好→收拾。
例 早はや く部へ 屋や を片かた 付づ けなさい。/赶紧收拾下房间。"
か,31 「かみ」表示“上方；神仙”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かたな「刀」 ③②（名）：刀,"解 かた→单方面→片，な→古语，刃的意思。片刃→刀只有一边有刃。
例 有ゆう 名めい な刀かたな を集あつ める。/收集名刀。
熟词联想 かみ「神」：神仙。神仙在上。"
か,31 「かみ」表示“上方；神仙”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かみ「神」 ①（名）：神仙,"解 かみ→神。
例 日に 本ほん 人じん は山やま に神かみ 様さま がいると信しん じている。/日本人相信山中有神仙。"
か,31 「かみ」表示“上方；神仙”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かみ「髪」 ②（名）：头发,"解 かみ→上方。头发在人体最上方。
例 美び 容よう 室しつ で髪かみ を切き る。/在理发店剪头发。"
か,31 「かみ」表示“上方；神仙”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かみ「上」 ①（名）：上方,"解 かみ→上方。很少单独使用，多作为前缀使用。
例 上かみ 半はん 期き の予よ 算さん を決き める。/确定上半年的预算。"
か,31 「かみ」表示“上方；神仙”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かみなり「雷」 ③④（名）：雷,"解 かみ→神，なり→鳴な り→鸣，神鸣→打雷。
例 雷かみなり が鳴な る/打雷"
か,31 「かみ」表示“上方；神仙”,"か主要表示“交叉，覆盖”（两件事物交叉后，一定有互相覆盖的部分）。词根25~28都由此扩展而来。
熟词联想 かさ「傘」：雨伞。古代没有雨伞，「かさ」本义为“斗笠”，即在头上戴一顶帽子防雨。",▶ かぶる「被る」 ②（他五）：戴；盖；承担,"解 かぶ→かみ→上方→戴；盖。日语中子音“b”和“m”的音变很常见（ぶ→み）。
例 かわいい帽ぼう 子し を被かぶ る。/戴可爱的帽子。"
